dataset	fs_method	n_features	integration_method	BatchMixingMean	BatchMixingSD	BatchMixingNSeeds	BiologicalConservationMean	BiologicalConservationSD	BiologicalConservationNSeeds	IntegrationMean	IntegrationSD	IntegrationNSeeds	LabelIndependentClusteringMean	LabelIndependentClusteringSD	LabelIndependentClusteringNSeeds	LabelAgreementMean	LabelAgreementSD	LabelAgreementNSeeds	ClusteringMean	ClusteringSD	ClusteringNSeeds	AlignmentMean	AlignmentSD	AlignmentNSeeds	CoreOverallMean	CoreOverallSD	CoreOverallNSeeds	AlignmentEligibleOverallMean	AlignmentEligibleOverallSD	AlignmentEligibleOverallNSeeds	MethodGroup
DLPFC	hybrid_hvg_svg_intersection	2000	cellcharter	0.612973440580307	0.0006453978218385779	3	0.9338291179288051	0.002329152634973068	3	0.773401279254556	0.0011049623896648485	3	0.6767155419220012	0.00045009622655741707	3	0.7886568051363394	0.09354652797705679	3	0.7326861735291703	0.04674369243106379	3	0.9378220854586431	0.007308320009363459	3	0.7530437263918631	0.022914678501802524	3	0.8146365127474565	0.013746616350959837	3	hybrid
DLPFC	hybrid_hvg_svg_intersection	2000	scvi	0.8719244742501209	0.006093726951856077	3	0.7184305114248883	0.00472302133242044	3	0.7951774928375047	0.00519864583836148	3	0.5026700688698438	0.010233088054425386	3	0.691681821967889	0.03133040476744066	3	0.5971759454188663	0.019343236572384133	3	0.8055990022137004	0.006466958212857916	3	0.6961767191281855	0.012077324287204733	3	0.7326508134900238	0.009981051061969346	3	hybrid
DLPFC	hybrid_hvg_svg_union	2000	cellcharter	0.5501402444129934	0.004490545749277198	3	0.9752979813978158	0.007883925229299543	3	0.7627191129054046	0.0026546711949955036	3	0.6972775374719057	0.005197813750663154	3	0.7510610962871697	0.08191200900399945	3	0.7241693168795376	0.04156616790111234	3	0.9303685182419098	0.009103026273942634	3	0.7434442148924711	0.02170197042351362	3	0.8057523160089507	0.011585309323966918	3	hybrid
DLPFC	hybrid_hvg_svg_union	2000	scvi	0.7010286436477197	0.06086088455461252	3	0.7129147683336648	0.03149772581829068	3	0.7069717059906923	0.043869959519289285	3	0.46978625942896396	0.039894208510862374	3	0.7015402328778239	0.08087213083225431	3	0.5856632461533939	0.060335351869824964	3	0.776742454875456	0.02943903705726039	3	0.646317476072043	0.05095771297985926	3	0.6897924690065139	0.04369761024457614	3	hybrid
E8p5Embryo	hybrid_hvg_svg_intersection	2000	cellcharter	0.47223653018703654	0.00410989200800016	3			0	0.47223653018703654	0.00410989200800016	3	0.7422338466925601	0.0040722134159189806	3			0	0.7422338466925601	0.0040722134159189806	3			0	0.6072351884397983	0.0036591115482191667	3			0	hybrid
E8p5Embryo	hybrid_hvg_svg_intersection	2000	scvi	0.7210760427448807	0.007357278408948401	3			0	0.7210760427448807	0.007357278408948401	3	0.413244281958272	0.012331131158234657	3			0	0.413244281958272	0.012331131158234657	3			0	0.5671601623515764	0.0098366320416479	3			0	hybrid
E8p5Embryo	hybrid_hvg_svg_union	2000	cellcharter	0.48088670417649587	0.002891322633649946	3			0	0.48088670417649587	0.002891322633649946	3	0.6584522997861461	0.010158092198710321	3			0	0.6584522997861461	0.010158092198710321	3			0	0.569669501981321	0.003684350335512635	3			0	hybrid
E8p5Embryo	hybrid_hvg_svg_union	2000	scvi	0.7340146002747998	0.003993199532978924	3			0	0.7340146002747998	0.003993199532978924	3	0.3783057698399454	0.019342325164815325	3			0	0.3783057698399454	0.019342325164815325	3			0	0.5561601850573726	0.008169858559914181	3			0	hybrid
E9p5Embryo	hybrid_hvg_svg_intersection	2000	cellcharter	0.5349721747834121	0.0018351134923122808	3			0	0.5349721747834121	0.0018351134923122808	3	0.712277920757236	0.012703059587779201	3			0	0.712277920757236	0.012703059587779201	3			0	0.6236250477703239	0.005435805315409205	3			0	hybrid
E9p5Embryo	hybrid_hvg_svg_intersection	2000	scvi	0.7327088792574584	0.004945910346611496	3			0	0.7327088792574584	0.004945910346611496	3	0.33981868485240363	0.011909228926564163	3			0	0.33981868485240363	0.011909228926564163	3			0	0.5362637820549311	0.005535410178727265	3			0	hybrid
E9p5Embryo	hybrid_hvg_svg_union	2000	cellcharter	0.49879167490689563	0.01165452796885814	3			0	0.49879167490689563	0.01165452796885814	3	0.6728854758687213	0.02975759488936884	3			0	0.6728854758687213	0.02975759488936884	3			0	0.5858385753878084	0.02061423840917823	3			0	hybrid
