Method	Type	SelFeatures	Value	SD	StandardValue
DUBStepR	Integration	100	0.6653626255055831	1.4895071702425724	0.2404841707313573
DUBStepR	Integration	200	0.647022984026636	0.9902523317107068	-0.055760857893872584
DUBStepR	Integration	500	0.6500712042282355	1.0271237455983675	0.0022735532947885466
DUBStepR	Integration	1000	0.6367010971961885	0.6635132520683668	-0.09666653832670379
DUBStepR	Integration	2000	0.6370583863554075	0.5768092752820447	0.08428643991236173
DUBStepR	Integration	5000	0.6246046841639205	0.8168836359590174	-0.08730838385896454
DUBStepR	Integration	10000	0.6246046841639205	0.8168836359590174	-0.08730838385896454
DUBStepR	Clustering	100	0.6053920570565583	1.3060079502760862	-0.6617479075201675
DUBStepR	Clustering	200	0.625017756049967	1.1165390390930428	-0.09788193155872327
DUBStepR	Clustering	500	0.6400483802162141	0.7700541011697767	0.16858818229783676
DUBStepR	Clustering	1000	0.6395563796684491	0.8087309940662945	0.2545291294882668
DUBStepR	Clustering	2000	0.6226634677501529	0.7867445243842225	0.05899077857511144
DUBStepR	Clustering	5000	0.6152593986906578	0.712641843080445	0.13876087435883885
DUBStepR	Clustering	10000	0.6152593986906578	0.712641843080445	0.13876087435883885
DUBStepR	Alignment	100	0.866041184600868	1.2010657103592008	-1.0190602008647438
DUBStepR	Alignment	200	0.8889477590637005	1.0198271080602015	-0.327334560799758
DUBStepR	Alignment	500	0.894639149978592	0.8066078677892361	-0.03153969165833073
DUBStepR	Alignment	1000	0.8850731589499835	0.44150476635518826	0.44379496524723966
DUBStepR	Alignment	2000	0.8577646169602743	1.3819890367447771	0.2518756971628142
DUBStepR	Alignment	5000	0.881371564311664	0.5364726940491182	0.34113189545638933
DUBStepR	Alignment	10000	0.881371564311664	0.5364726940491182	0.34113189545638933
DUBStepR	Overall	100	0.6353773412810707	1.3008481835589936	-0.3692784487519177
DUBStepR	Overall	200	0.6360203700383015	1.243359507768846	-0.43143713723979304
DUBStepR	Overall	500	0.6450597922222248	0.7967139128427551	0.09079055718997422
DUBStepR	Overall	1000	0.6381287384323188	0.878500180006208	0.16700068026728637
DUBStepR	Overall	2000	0.6298609270527802	0.6365353912376323	0.17155609316090692
DUBStepR	Overall	5000	0.6199320414272891	0.6780543697395897	0.18568412768677187
DUBStepR	Overall	10000	0.6199320414272891	0.6780543697395897	0.18568412768677187
Moran's I	Integration	100	0.6746595693343194	0.9847451317643433	0.7055892556981611
Moran's I	Integration	200	0.6653265417082239	0.6069816677136424	0.5275765491207746
Moran's I	Integration	500	0.6515414890193134	0.6389364243830443	0.04972824134737823
Moran's I	Integration	1000	0.6478728440111164	0.6588336267082667	0.12241881894345995
Moran's I	Integration	2000	0.6257534625274975	0.5133558337840046	0.13140610423507493
Moran's I	Integration	5000	0.5954501237726342	0.6304464448665333	-0.5208195975473089
Moran's I	Integration	10000	0.5609545123162294	1.158979298811742	-1.0158993717975402
Moran's I	Clustering	100	0.63525660924108	1.1459905960978838	0.012015488110876126
Moran's I	Clustering	200	0.652287872362698	0.828119028928456	0.2987056091566844
Moran's I	Clustering	500	0.6609595359451839	0.5199370645530014	0.5626507380795915
Moran's I	Clustering	1000	0.651583020266415	0.5842306287274348	0.3739598628899995
Moran's I	Clustering	2000	0.6252629512131479	0.7969620866452729	-0.02238503073687285
Moran's I	Clustering	5000	0.6204075269832985	0.926968764577734	-0.09944023810569232
Moran's I	Clustering	10000	0.5856724839031298	0.6270655975453174	-1.1255064293945876
Moran's I	Alignment	100	0.9002591657216623	0.7496741094257182	0.32609179047428793
Moran's I	Alignment	200	0.9034735158240039	0.21494745803975035	0.519148320358227
Moran's I	Alignment	500	0.89926606620997	0.38786735339141737	0.4949301208099709
Moran's I	Alignment	1000	0.9046166389756543	0.10504903289581252	0.6378377666532075
Moran's I	Alignment	2000	0.7944343051973181	0.9861644274905382	0.24960672085162353
Moran's I	Alignment	5000	0.7861548930070374	0.49738383930321417	-0.45237628470629343
Moran's I	Alignment	10000	0.6505886737198374	0.28690588187032556	-1.775238434441021
Moran's I	Overall	100	0.6549580892876997	1.0479363015411292	0.36270472442499374
Moran's I	Overall	200	0.6588072070354609	0.5835892775223745	0.44591689121458516
Moran's I	Overall	500	0.6562505124822486	0.3463462869421682	0.5366105118925485
Moran's I	Overall	1000	0.6497279321387658	0.5474176574677446	0.36861226433977
Moran's I	Overall	2000	0.6255082068703227	0.593288690588413	0.052015904065483176
Moran's I	Overall	5000	0.6079288253779663	0.8677067473038306	-0.3866053232354722
Moran's I	Overall	10000	0.5733134981096796	0.6880919634274185	-1.3792549727019034
NBumi	Integration	100	0.6527465941222501	1.3800954844823994	0.1838899807673221
NBumi	Integration	200	0.6524368764666207	0.6933351432631166	0.5168085696774329
NBumi	Integration	500	0.634829657850101	0.48058701969566714	0.10356370465242645
NBumi	Integration	1000	0.6382240718403106	0.6243335549394254	0.2737478186354506
NBumi	Integration	2000	0.6385334734582776	0.761016941022412	0.07040427226056462
NBumi	Integration	5000	0.6165278303769407	0.6850114591491684	-0.2562209966917469
