MetricDisplay	Type	Feature	Corr
Ratio	Alignment	slices	-0.30375285044374534
Accuracy	Alignment	slices	-0.30184889081767796
Silhouette	Clustering	slices	-0.18530718712564256
PAS	Clustering	slices	-0.06048968202274304
CHAOS	Clustering	slices	-0.012000170151879265
NMI	Clustering	slices	-0.15604907829109232
ARI	Clustering	slices	-0.16707819335530952
GC	Integration	slices	-0.09801739659954922
ILL	Integration	slices	-0.24202077651330448
dLISI	Integration	slices	-0.1978833610579279
iLISI	Integration	slices	-0.2642956056384486
dASW	Integration	slices	-0.24853991394128352
bASW	Integration	slices	-0.22800681893388916
Ratio	Alignment	spots	-0.30375285044374534
Accuracy	Alignment	spots	-0.30184889081767796
Silhouette	Clustering	spots	-0.2619943884747579
PAS	Clustering	spots	-0.3893716232945582
CHAOS	Clustering	spots	-0.373806903275577
NMI	Clustering	spots	0.07502504893528648
ARI	Clustering	spots	-0.1841139494637518
GC	Integration	spots	0.17245511237914102
ILL	Integration	spots	-0.45592050044096893
dLISI	Integration	spots	-0.3481280453446658
iLISI	Integration	spots	0.0013416128381729267
dASW	Integration	spots	0.16238871245338696
bASW	Integration	spots	0.44736321318133976
Ratio	Alignment	genes	-0.30375285044374534
Accuracy	Alignment	genes	-0.30184889081767796
Silhouette	Clustering	genes	-0.0880398738636328
PAS	Clustering	genes	0.1986034407077661
CHAOS	Clustering	genes	0.1628392579763559
NMI	Clustering	genes	-0.09750360538380781
ARI	Clustering	genes	-0.12302063311683469
GC	Integration	genes	0.07378099358393485
ILL	Integration	genes	-0.31269020853608526
dLISI	Integration	genes	-0.33863204211243725
iLISI	Integration	genes	0.09900324326486111
dASW	Integration	genes	0.20763190964842437
bASW	Integration	genes	0.08178473594663611
Ratio	Alignment	labels	0.30375285044374534
Accuracy	Alignment	labels	0.30184889081767796
Silhouette	Clustering	labels	0.2976167740815563
PAS	Clustering	labels	0.17360070445795733
CHAOS	Clustering	labels	0.19730971402753097
NMI	Clustering	labels	0.5364374503851054
ARI	Clustering	labels	0.2685130695154834
GC	Integration	labels	-0.06146699393215079
ILL	Integration	labels	0.02384023947024272
dLISI	Integration	labels	0.10127649583617698
iLISI	Integration	labels	0.425748399186741
dASW	Integration	labels	0.35297724078981746
bASW	Integration	labels	-0.17478170902587417
Ratio	Alignment	spots/slice	-0.30375285044374534
Accuracy	Alignment	spots/slice	-0.30184889081767796
Silhouette	Clustering	spots/slice	-0.08752574231055503
PAS	Clustering	spots/slice	-0.2569152594194355
CHAOS	Clustering	spots/slice	-0.2920572572211534
NMI	Clustering	spots/slice	-0.14078349641050966
ARI	Clustering	spots/slice	-0.010286775442444853
GC	Integration	spots/slice	0.12678936716059042
ILL	Integration	spots/slice	0.08186903014750563
dLISI	Integration	spots/slice	-0.010885345583965504
iLISI	Integration	spots/slice	0.0956179739913622
dASW	Integration	spots/slice	0.1577209377622566
bASW	Integration	spots/slice	0.5570302703148323
Ratio	Alignment	platform	NA
Accuracy	Alignment	platform	NA
Silhouette	Clustering	platform	-0.06297905864283006
PAS	Clustering	platform	-0.39404210927882954
CHAOS	Clustering	platform	-0.37648543305615517
NMI	Clustering	platform	NA
ARI	Clustering	platform	NA
GC	Integration	platform	NA
ILL	Integration	platform	NA
dLISI	Integration	platform	NA
iLISI	Integration	platform	-0.011987733995819557
dASW	Integration	platform	NA
bASW	Integration	platform	0.29257233390416887
