MetricDisplay	Type	Dataset	IntegrationLabel	FeatureCorrelation
Ratio	Alignment	DLPFC	CellCharter	-0.7697288929796336
Ratio	Alignment	DLPFC	scVI	-0.6889796554627687
Ratio	Alignment	MouseBrainSerialSections	CellCharter	-0.2054318541025535
Ratio	Alignment	MouseBrainSerialSections	scVI	-0.730171346660516
Accuracy	Alignment	DLPFC	CellCharter	0.3304231339326806
Accuracy	Alignment	DLPFC	scVI	0.013785280471308906
Accuracy	Alignment	MouseBrainSerialSections	CellCharter	0.553886777770151
Accuracy	Alignment	MouseBrainSerialSections	scVI	-0.4069987134250917
Silhouette	Clustering	DLPFC	CellCharter	0.7739378368470736
Silhouette	Clustering	DLPFC	scVI	0.7441160010379064
Silhouette	Clustering	E8p5Embryo	CellCharter	0.6308352195264778
Silhouette	Clustering	E8p5Embryo	scVI	0.5814006346055621
Silhouette	Clustering	E9p5Embryo	CellCharter	0.639998239692978
Silhouette	Clustering	E9p5Embryo	scVI	0.4653876263775406
Silhouette	Clustering	MouseBrainSerialSections	CellCharter	0.7955319487174478
Silhouette	Clustering	MouseBrainSerialSections	scVI	0.3816074328109322
Silhouette	Clustering	STOmics0212	CellCharter	0.5177357699114604
Silhouette	Clustering	STOmics0212	scVI	0.7108402995043257
Silhouette	Clustering	STOmics0218	CellCharter	0.745261060582594
Silhouette	Clustering	STOmics0218	scVI	0.7217017741967846
Silhouette	Clustering	STOmics0224	CellCharter	0.7807587681174936
Silhouette	Clustering	STOmics0224	scVI	0.7249683866302506
PAS	Clustering	DLPFC	CellCharter	0.1338425390848275
PAS	Clustering	DLPFC	scVI	-0.1283035369861226
PAS	Clustering	E8p5Embryo	CellCharter	-0.31643461250763555
PAS	Clustering	E8p5Embryo	scVI	-0.013473332228639898
PAS	Clustering	E9p5Embryo	CellCharter	-0.25411831551307706
PAS	Clustering	E9p5Embryo	scVI	0.4603761677351055
PAS	Clustering	MouseBrainSerialSections	CellCharter	-0.5374466782044243
PAS	Clustering	MouseBrainSerialSections	scVI	-0.339796544704359
PAS	Clustering	STOmics0212	CellCharter	-0.5808511327974353
PAS	Clustering	STOmics0212	scVI	-0.40122176067865906
PAS	Clustering	STOmics0218	CellCharter	-0.05286320372391489
PAS	Clustering	STOmics0218	scVI	0.12172127618505926
PAS	Clustering	STOmics0224	CellCharter	-0.08026555304271714
PAS	Clustering	STOmics0224	scVI	0.4644107471604011
CHAOS	Clustering	DLPFC	CellCharter	0.15163548146724354
CHAOS	Clustering	DLPFC	scVI	0.4590873052408641
CHAOS	Clustering	E8p5Embryo	CellCharter	-0.2639124426639848
CHAOS	Clustering	E8p5Embryo	scVI	0.45958471686461905
CHAOS	Clustering	E9p5Embryo	CellCharter	-0.19643081016734393
CHAOS	Clustering	E9p5Embryo	scVI	0.5665830882125663
CHAOS	Clustering	MouseBrainSerialSections	CellCharter	-0.30073661926258355
CHAOS	Clustering	MouseBrainSerialSections	scVI	-0.1368899382169408
CHAOS	Clustering	STOmics0212	CellCharter	-0.3819743774473903
CHAOS	Clustering	STOmics0212	scVI	-0.12043743776793688
CHAOS	Clustering	STOmics0218	CellCharter	2.45141079657648e-4
CHAOS	Clustering	STOmics0218	scVI	0.37226866929423674
CHAOS	Clustering	STOmics0224	CellCharter	0.24695133374731384
CHAOS	Clustering	STOmics0224	scVI	0.6033877369091889
NMI	Clustering	DLPFC	CellCharter	-0.14856858075093549
NMI	Clustering	DLPFC	scVI	0.2088406101276283
NMI	Clustering	MouseBrainSerialSections	CellCharter	0.46077454510877225
NMI	Clustering	MouseBrainSerialSections	scVI	-0.3713337398305305
NMI	Clustering	STOmics0212	CellCharter	-0.419937907239796
NMI	Clustering	STOmics0212	scVI	-0.07435675207089797
NMI	Clustering	STOmics0218	CellCharter	0.32811519196821437
NMI	Clustering	STOmics0218	scVI	0.5575180972993928
NMI	Clustering	STOmics0224	CellCharter	-0.013401439610172072
NMI	Clustering	STOmics0224	scVI	0.6388647514504278
ARI	Clustering	DLPFC	CellCharter	-0.11227360691711502
ARI	Clustering	DLPFC	scVI	0.1336974471364528
ARI	Clustering	MouseBrainSerialSections	CellCharter	0.17600368938503722
ARI	Clustering	MouseBrainSerialSections	scVI	-0.4210733914490856
ARI	Clustering	STOmics0212	CellCharter	-0.22743716205615522
ARI	Clustering	STOmics0212	scVI	-0.07410751548336923
ARI	Clustering	STOmics0218	CellCharter	0.05849861845281444
ARI	Clustering	STOmics0218	scVI	0.3698032170038374
ARI	Clustering	STOmics0224	CellCharter	-0.05055758327396357
ARI	Clustering	STOmics0224	scVI	0.3379215180704796
GC	Integration	DLPFC	CellCharter	-0.22027600701988143
GC	Integration	DLPFC	scVI	-0.37874761188680256
GC	Integration	MouseBrainSerialSections	CellCharter	0.41972423791760466
GC	Integration	MouseBrainSerialSections	scVI	-0.7085121309991664
GC	Integration	STOmics0212	CellCharter	0.5071854863036178
GC	Integration	STOmics0212	scVI	-0.40212509704284766
GC	Integration	STOmics0218	CellCharter	0.34588821277451515
GC	Integration	STOmics0218	scVI	-0.25987938261148047
GC	Integration	STOmics0224	CellCharter	0.21703007187080026
GC	Integration	STOmics0224	scVI	-0.3455086074298052
ILL	Integration	DLPFC	CellCharter	0.6801171197797022
ILL	Integration	DLPFC	scVI	0.20136467396719634
ILL	Integration	MouseBrainSerialSections	CellCharter	0.5302732686816658
ILL	Integration	MouseBrainSerialSections	scVI	0.25113387220880146
ILL	Integration	STOmics0212	CellCharter	-0.3650393157516835
ILL	Integration	STOmics0212	scVI	0.251122828745154
ILL	Integration	STOmics0218	CellCharter	-0.5816039397035601
ILL	Integration	STOmics0218	scVI	-0.07759739030089144
ILL	Integration	STOmics0224	CellCharter	0.7022419655620462
ILL	Integration	STOmics0224	scVI	0.3175572093722103
dLISI	Integration	DLPFC	CellCharter	0.6554180963841163
dLISI	Integration	DLPFC	scVI	0.1453881777952219
dLISI	Integration	MouseBrainSerialSections	CellCharter	0.3500363040746887
dLISI	Integration	MouseBrainSerialSections	scVI	0.6236441722092401
dLISI	Integration	STOmics0212	CellCharter	-0.26272578650071726
dLISI	Integration	STOmics0212	scVI	-0.054197841601672056
dLISI	Integration	STOmics0218	CellCharter	-0.2300692912255223
dLISI	Integration	STOmics0218	scVI	0.6237377821680592
dLISI	Integration	STOmics0224	CellCharter	0.7396955776661037
dLISI	Integration	STOmics0224	scVI	0.7289596824051826
iLISI	Integration	DLPFC	CellCharter	-0.783117476724768
iLISI	Integration	DLPFC	scVI	-0.757916469198203
iLISI	Integration	E8p5Embryo	CellCharter	-0.13810957344907687
iLISI	Integration	E8p5Embryo	scVI	0.03099356321418107
iLISI	Integration	E9p5Embryo	CellCharter	-0.4619033118907353
iLISI	Integration	E9p5Embryo	scVI	-0.11947520802228402
iLISI	Integration	MouseBrainSerialSections	CellCharter	0.061511689002305824
iLISI	Integration	MouseBrainSerialSections	scVI	-0.7568976038500069
iLISI	Integration	STOmics0212	CellCharter	0.565941402289026
iLISI	Integration	STOmics0212	scVI	-0.1822211986041104
iLISI	Integration	STOmics0218	CellCharter	0.5526433586938856
iLISI	Integration	STOmics0218	scVI	-0.08137923263718508
iLISI	Integration	STOmics0224	CellCharter	-0.5393783986576179
iLISI	Integration	STOmics0224	scVI	-0.7139785742825044
dASW	Integration	DLPFC	CellCharter	0.31256410505158694
dASW	Integration	DLPFC	scVI	-0.26223463782158224
dASW	Integration	MouseBrainSerialSections	CellCharter	-0.6255046701407707
dASW	Integration	MouseBrainSerialSections	scVI	-0.7241871186034329
dASW	Integration	STOmics0212	CellCharter	-0.6933024686410358
dASW	Integration	STOmics0212	scVI	-0.7443374628432236
dASW	Integration	STOmics0218	CellCharter	0.6697950520315661
dASW	Integration	STOmics0218	scVI	0.3165999969089737
dASW	Integration	STOmics0224	CellCharter	-0.7693324992103662
dASW	Integration	STOmics0224	scVI	-0.6512973277062627
bASW	Integration	DLPFC	CellCharter	-0.7704742633559359
bASW	Integration	DLPFC	scVI	-0.6587552962478747
bASW	Integration	E8p5Embryo	CellCharter	-0.5579357572302256
bASW	Integration	E8p5Embryo	scVI	-0.6216250325481039
bASW	Integration	E9p5Embryo	CellCharter	0.05284027443582618
bASW	Integration	E9p5Embryo	scVI	-0.21372397916009753
bASW	Integration	MouseBrainSerialSections	CellCharter	-0.6538801889078254
bASW	Integration	MouseBrainSerialSections	scVI	-0.677937948324347
bASW	Integration	STOmics0212	CellCharter	0.3845287599383539
bASW	Integration	STOmics0212	scVI	-0.5542272826751752
bASW	Integration	STOmics0218	CellCharter	-0.7941792848125111
bASW	Integration	STOmics0218	scVI	-0.7076626206228825
bASW	Integration	STOmics0224	CellCharter	-0.26066753693516304
bASW	Integration	STOmics0224	scVI	-0.6605623760633169
