Type	SelFeatures	Value	StandardValue
Integration	100	0.6552509437098593	0.29329647614849924
Integration	200	0.6632234564926961	0.3800853581124808
Integration	500	0.661363873039485	0.2433571693302119
Integration	1000	0.6515375063685963	0.14429119544498104
Integration	2000	0.6408277721547677	0.07319512241517856
Integration	5000	0.610479233002963	-0.35578484237566843
Integration	10000	0.5828796154853472	-0.778440479075682
Clustering	100	0.5608032969908225	-0.6556482603455178
Clustering	200	0.5880969681028725	-0.17123378228153827
Clustering	500	0.6136387326563711	0.2046948368917002
Clustering	1000	0.6213424840219915	0.32760123539545827
Clustering	2000	0.6219104424074617	0.2854398901287565
Clustering	5000	0.62021019730931	0.20144958448420205
Clustering	10000	0.6028877567158318	-0.19230350427306114
Alignment	100	0.8541115836683986	-0.5487786561742848
Alignment	200	0.8724928426988323	-0.028482705612656735
Alignment	500	0.8815261167313951	0.34948971461226847
Alignment	1000	0.8771385787138289	0.5258365221581632
Alignment	2000	0.8520689597198902	0.6608825119543998
Alignment	5000	0.7961052721085133	-0.05693813888312479
Alignment	10000	0.756233033464862	-0.9020092480547631
Overall	100	0.6080271203503409	-0.45537112410195174
Overall	200	0.6256602122977842	0.018285510163596783
Overall	500	0.637501302847928	0.31118209985262507
Overall	1000	0.6364399951952939	0.35147099111908864
Overall	2000	0.6313691072811147	0.3160834162056025
Overall	5000	0.6153447151561365	0.0287619582338293
Overall	10000	0.5928836861005895	-0.57041285147279
