fs_method	integration_method	task	NRuns	RuntimeMedianSeconds	RuntimeIQRSeconds	RuntimeMaximumSeconds	PeakMemoryMedianGiB	PeakMemoryMaximumGiB
Brennecke	cellcharter	alignment_eval	18	50.63161584505	20.284969229699996	192.1670436971	18.12832260131836	28.215450286865234
Brennecke	cellcharter	clustering_eval	63	59.3865839103	30.608813658349995	234.6880787909	15.212940216064453	52.16213607788086
Brennecke	cellcharter	integration_eval	63	61.5903302878	32.134988428149995	235.16201906	15.212940216064453	52.16096496582031
Brennecke	scvi	alignment_eval	18	31.5745129441	11.3743309316	153.5570905162	18.12832260131836	28.215450286865234
Brennecke	scvi	clustering_eval	63	37.9803275727	30.884254484450004	214.8976304391	15.100360870361328	51.269073486328125
Brennecke	scvi	integration_eval	63	39.7319932636	31.643904076000005	215.0728935553	15.100360870361328	51.269073486328125
TFs	cellcharter	alignment_eval	6	28.2268978073	15.581205361525	36.2600794937	10.952974319458008	18.190723419189453
TFs	cellcharter	clustering_eval	21	37.4171420662	15.538754474300003	47.8708245941	9.440155029296875	30.044193267822266
TFs	cellcharter	integration_eval	21	38.5168264611	17.7384415241	48.0589064322	9.440155029296875	30.044193267822266
TFs	scvi	alignment_eval	6	12.167500438600001	12.872896437499998	19.0354350312	10.952974319458008	18.190723419189453
TFs	scvi	clustering_eval	21	19.5861079842	14.306925856500001	26.1820488293	9.440155029296875	30.044193267822266
TFs	scvi	integration_eval	21	21.2870422015	15.0402790075	26.7699823901	9.440155029296875	30.044193267822266
all_features	cellcharter	alignment_eval	6	197.47065143895	264.95895927052504	333.3716105204	10.952974319458008	18.190723419189453
all_features	cellcharter	clustering_eval	21	237.6170338234	251.6882959343	368.7813272607	9.440155029296875	30.044193267822266
all_features	cellcharter	integration_eval	21	237.7647726163	253.1269732341	371.1059908923	9.440155029296875	30.044193267822266
all_features	scvi	alignment_eval	6	176.7108671181	254.43588767760002	315.778775081	10.952974319458008	16.949851989746094
all_features	scvi	clustering_eval	21	215.6559046526	241.0149960583	342.4556715442	9.041057586669922	27.021846771240234
all_features	scvi	integration_eval	21	215.7881142478	242.13131435399998	343.5930058938	9.041057586669922	27.021846771240234
anticor	cellcharter	alignment_eval	18	74.23611705795	74.03760149120001	268.6601867182	21.172718048095703	33.37644577026367
anticor	cellcharter	clustering_eval	63	72.0930650411	26.493595177749988	268.9734571567	19.237171173095703	57.64524459838867
anticor	cellcharter	integration_eval	63	74.2279356923	27.61541605135001	272.1574181765	19.237171173095703	57.64524459838867
anticor	scvi	alignment_eval	18	56.83147339475	70.68996850102499	240.0828667749	21.172718048095703	33.37644577026367
anticor	scvi	clustering_eval	63	51.2842365457	20.64084758565	240.9990136856	19.237171173095703	57.64524459838867
anticor	scvi	integration_eval	63	52.9134250013	22.272183419650005	243.5091650318	19.237171173095703	57.64524459838867
dubstepr	cellcharter	alignment_eval	18	426.34985450839997	452.079613759375	657.0647674156	12.920429229736328	19.575923919677734
dubstepr	cellcharter	clustering_eval	63	203.9198935432	270.43377871300004	657.5860585654	12.068828582763672	39.47893142700195
dubstepr	cellcharter	integration_eval	63	204.648302665	272.13793645100003	657.6901716255	12.068828582763672	39.47893142700195
dubstepr	scvi	alignment_eval	18	411.79534666334996	450.9062279586	641.3790263245	12.920429229736328	19.422889709472656
