fs_method	integration_method	MeanDatasetRank	MeanScore	NDatasets	GlobalRank	Scenario
Brennecke	cellcharter	16.285714285714285	0.6546367567024237	7	20.0	observed_range
Brennecke	scvi	22.0	0.5851106433914797	7	28.0	observed_range
anticor	cellcharter	15.857142857142858	0.6607898236028168	7	17.5	observed_range
anticor	scvi	14.0	0.6010386442744142	7	15.0	observed_range
dubstepr	cellcharter	16.142857142857142	0.6548946839097157	7	19.0	observed_range
dubstepr	scvi	11.571428571428571	0.6048097516517517	7	7.5	observed_range
hotspot	cellcharter	14.428571428571429	0.6614576063376908	7	12.0	observed_range
hotspot	scvi	14.142857142857142	0.5993800702069888	7	16.0	observed_range
morans_i	cellcharter	15.571428571428571	0.6555360941260231	7	15.0	observed_range
morans_i	scvi	14.571428571428571	0.5954604098779992	7	17.5	observed_range
nbumi	cellcharter	9.142857142857142	0.6752200974166955	7	5.0	observed_range
nbumi	scvi	11.285714285714286	0.6222267787152198	7	5.5	observed_range
nnsvg	cellcharter	16.857142857142858	0.6503331696734376	7	22.0	observed_range
nnsvg	scvi	12.285714285714286	0.6061674207377583	7	9.0	observed_range
osca	cellcharter	12.857142857142858	0.6605928615771794	7	8.5	observed_range
osca	scvi	10.714285714285714	0.6140685650751959	7	4.0	observed_range
scPNMF	cellcharter	23.857142857142858	0.6420836112396747	7	29.0	observed_range
scPNMF	scvi	17.428571428571427	0.5945085201413648	7	21.0	observed_range
scanpy_cell_ranger	cellcharter	13.0	0.665879957668083	7	10.0	observed_range
scanpy_cell_ranger	scvi	14.571428571428571	0.6153110266202683	7	17.5	observed_range
scanpy_cell_ranger_batch	cellcharter	8.0	0.6747594669794429	7	4.0	observed_range
scanpy_cell_ranger_batch	scvi	12.857142857142858	0.6185028349017475	7	11.0	observed_range
scanpy_pearson	cellcharter	16.428571428571427	0.6596310043535725	7	21.0	observed_range
scanpy_pearson	scvi	11.571428571428571	0.6020543920688833	7	7.5	observed_range
scanpy_pearson_batch	cellcharter	15.428571428571429	0.6625297220247752	7	14.0	observed_range
scanpy_pearson_batch	scvi	17.0	0.5857102125557176	7	19.0	observed_range
scanpy_seurat	cellcharter	14.857142857142858	0.6612314281558913	7	13.0	observed_range
scanpy_seurat	scvi	19.714285714285715	0.6166882528505496	7	24.0	observed_range
scanpy_seurat_batch	cellcharter	15.857142857142858	0.6584299456666587	7	17.5	observed_range
scanpy_seurat_batch	scvi	17.285714285714285	0.6105843300786672	7	20.0	observed_range
scanpy_seurat_v3	cellcharter	6.857142857142857	0.6809491290647721	7	2.0	observed_range
scanpy_seurat_v3	scvi	11.285714285714286	0.6274591051179021	7	5.5	observed_range
scanpy_seurat_v3_batch	cellcharter	7.142857142857143	0.6795230203685766	7	3.0	observed_range
scanpy_seurat_v3_batch	scvi	13.857142857142858	0.6134440135994732	7	14.0	observed_range
scry	cellcharter	19.142857142857142	0.6436595755512108	7	23.0	observed_range
scry	scvi	20.428571428571427	0.5735217294731775	7	26.5	observed_range
seurat_disp	cellcharter	19.285714285714285	0.6531940486401252	7	24.0	observed_range
seurat_disp	scvi	17.571428571428573	0.5957840960026942	7	22.0	observed_range
seurat_mvp	cellcharter	12.857142857142858	0.6635619296614133	7	8.5	observed_range
seurat_mvp	scvi	19.0	0.6168446606293462	7	23.0	observed_range
seurat_sct	cellcharter	19.714285714285715	0.6220411320845247	7	25.0	observed_range
seurat_sct	scvi	13.0	0.5947209085146163	7	12.0	observed_range
seurat_vst	cellcharter	6.714285714285714	0.6786245697523547	7	1.0	observed_range
seurat_vst	scvi	10.571428571428571	0.6284657219262266	7	3.0	observed_range
singleCellHaystack	cellcharter	12.142857142857142	0.6641120875847306	7	7.0	observed_range
singleCellHaystack	scvi	13.285714285714286	0.5989993449548165	7	13.0	observed_range
somde	cellcharter	15.714285714285714	0.6600273983292256	7	16.0	observed_range
somde	scvi	10.285714285714286	0.608973972074527	7	2.0	observed_range
sparkx	cellcharter	21.714285714285715	0.6461228371842046	7	27.0	observed_range
sparkx	scvi	20.142857142857142	0.5792700461479768	7	25.0	observed_range
spatialde	cellcharter	13.285714285714286	0.6609736123351749	7	11.0	observed_range
spatialde	scvi	12.714285714285714	0.6057651437050474	7	10.0	observed_range
statistic_mean	cellcharter	23.285714285714285	0.6426821592815054	7	28.0	observed_range
statistic_mean	scvi	24.428571428571427	0.5626697141482272	7	29.0	observed_range
statistic_variance	cellcharter	21.142857142857142	0.6448548456051555	7	26.0	observed_range
statistic_variance	scvi	20.428571428571427	0.5831926665552958	7	26.5	observed_range
triku	cellcharter	11.428571428571429	0.6688654131067252	7	6.0	observed_range
triku	scvi	7.0	0.6477260714824636	7	1.0	observed_range
Brennecke	cellcharter	16.714285714285715	0.5548792064445213	7	18.0	rank_percentile
Brennecke	scvi	22.285714285714285	0.42001999486845387	7	28.0	rank_percentile
anticor	cellcharter	14.357142857142858	0.571676760381785	7	15.0	rank_percentile
anticor	scvi	12.142857142857142	0.4922336902746124	7	10.0	rank_percentile
dubstepr	cellcharter	14.571428571428571	0.5746535626763486	7	16.0	rank_percentile
dubstepr	scvi	11.0	0.4934551373551569	7	4.5	rank_percentile
hotspot	cellcharter	11.571428571428571	0.5858434953145017	7	7.0	rank_percentile
hotspot	scvi	11.857142857142858	0.5038385484731461	7	9.0	rank_percentile
morans_i	cellcharter	17.428571428571427	0.5646254570283247	7	20.0	rank_percentile
morans_i	scvi	14.857142857142858	0.46812448816562935	7	16.0	rank_percentile
nbumi	cellcharter	8.5	0.6132307075634404	7	4.0	rank_percentile
nbumi	scvi	13.0	0.48786770606236013	7	12.0	rank_percentile
nnsvg	cellcharter	18.357142857142858	0.5557724934702879	7	21.0	rank_percentile
nnsvg	scvi	11.0	0.4881171991547375	7	4.5	rank_percentile
osca	cellcharter	11.0	0.5895512595601451	7	6.0	rank_percentile
osca	scvi	11.0	0.49956267866706544	7	4.5	rank_percentile
scPNMF	cellcharter	22.142857142857142	0.5421402945899026	7	29.0	rank_percentile
scPNMF	scvi	17.0	0.4615244974652687	7	19.0	rank_percentile
scanpy_cell_ranger	cellcharter	13.285714285714286	0.5813404476861802	7	10.0	rank_percentile
scanpy_cell_ranger	scvi	16.142857142857142	0.4910341398516334	7	18.0	rank_percentile
scanpy_cell_ranger_batch	cellcharter	11.857142857142858	0.5867040339568214	7	8.0	rank_percentile
scanpy_cell_ranger_batch	scvi	13.285714285714286	0.49918227254331743	7	13.0	rank_percentile
scanpy_pearson	cellcharter	13.428571428571429	0.5810571435784445	7	11.0	rank_percentile
scanpy_pearson	scvi	11.428571428571429	0.4937234680132338	7	7.0	rank_percentile
scanpy_pearson_batch	cellcharter	14.142857142857142	0.5747642051989877	7	14.0	rank_percentile
scanpy_pearson_batch	scvi	18.142857142857142	0.4467972241993616	7	21.0	rank_percentile
scanpy_seurat	cellcharter	16.857142857142858	0.5592167572029055	7	19.0	rank_percentile
scanpy_seurat	scvi	19.0	0.47456493917494935	7	23.5	rank_percentile
scanpy_seurat_batch	cellcharter	19.857142857142858	0.5466370952306246	7	22.5	rank_percentile
scanpy_seurat_batch	scvi	19.0	0.4475398268000147	7	23.5	rank_percentile
scanpy_seurat_v3	cellcharter	7.0	0.6145130466725968	7	1.0	rank_percentile
scanpy_seurat_v3	scvi	12.714285714285714	0.5023245717078183	7	11.0	rank_percentile
scanpy_seurat_v3_batch	cellcharter	7.142857142857143	0.6194362203174706	7	2.0	rank_percentile
scanpy_seurat_v3_batch	scvi	14.571428571428571	0.4783886430023048	7	15.0	rank_percentile
scry	cellcharter	21.285714285714285	0.5409917021972136	7	28.0	rank_percentile
scry	scvi	19.285714285714285	0.437638238751365	7	25.0	rank_percentile
seurat_disp	cellcharter	20.642857142857142	0.5461783763551133	7	25.0	rank_percentile
seurat_disp	scvi	17.142857142857142	0.45687646498299406	7	20.0	rank_percentile
seurat_mvp	cellcharter	13.0	0.580638257299122	7	9.0	rank_percentile
seurat_mvp	scvi	19.857142857142858	0.46513279292382465	7	27.0	rank_percentile
seurat_sct	cellcharter	19.857142857142858	0.48614054279495633	7	22.5	rank_percentile
seurat_sct	scvi	14.142857142857142	0.45913932353754155	7	14.0	rank_percentile
seurat_vst	cellcharter	7.357142857142857	0.6101718411044571	7	3.0	rank_percentile
seurat_vst	scvi	10.428571428571429	0.5116207815767191	7	2.0	rank_percentile
singleCellHaystack	cellcharter	13.857142857142858	0.5893589714856573	7	13.0	rank_percentile
singleCellHaystack	scvi	11.0	0.4768386816563456	7	4.5	rank_percentile
somde	cellcharter	13.571428571428571	0.5787245860308083	7	12.0	rank_percentile
somde	scvi	11.714285714285714	0.49986795993478406	7	8.0	rank_percentile
sparkx	cellcharter	21.142857142857142	0.5441264341344676	7	27.0	rank_percentile
sparkx	scvi	18.857142857142858	0.43008139631636394	7	22.0	rank_percentile
spatialde	cellcharter	15.214285714285714	0.5776637251727325	7	17.0	rank_percentile
spatialde	scvi	15.0	0.4789255458257114	7	17.0	rank_percentile
statistic_mean	cellcharter	21.0	0.5439737210484326	7	26.0	rank_percentile
statistic_mean	scvi	22.571428571428573	0.41200015082932945	7	29.0	rank_percentile
statistic_variance	cellcharter	20.285714285714285	0.5533266207197508	7	24.0	rank_percentile
statistic_variance	scvi	19.571428571428573	0.4416955766948464	7	26.0	rank_percentile
triku	cellcharter	9.571428571428571	0.5995719106843066	7	5.0	rank_percentile
triku	scvi	7.0	0.5586871639990098	7	1.0	rank_percentile
Brennecke	cellcharter	18.571428571428573	0.16666741112628708	7	20.5	z_score
Brennecke	scvi	22.285714285714285	-0.18389388906686857	7	28.0	z_score
anticor	cellcharter	14.714285714285714	0.2497608720691906	7	14.0	z_score
anticor	scvi	12.857142857142858	-0.045828314453795115	7	11.5	z_score
dubstepr	cellcharter	13.571428571428571	0.25803851188248855	7	12.0	z_score
dubstepr	scvi	11.0	-0.03261711161622231	7	4.0	z_score
hotspot	cellcharter	10.714285714285714	0.27466558412481806	7	5.0	z_score
hotspot	scvi	11.571428571428571	-0.054657785198147006	7	5.5	z_score
morans_i	cellcharter	14.142857142857142	0.23974961886533633	7	13.0	z_score
morans_i	scvi	14.142857142857142	-0.09268112443778229	7	15.5	z_score
nbumi	cellcharter	8.285714285714286	0.3570319816525302	7	4.0	z_score
nbumi	scvi	12.285714285714286	0.03714620941027639	7	9.5	z_score
nnsvg	cellcharter	16.571428571428573	0.21480077003165712	7	19.0	z_score
nnsvg	scvi	11.571428571428571	-0.02123299146117937	7	5.5	z_score
osca	cellcharter	11.142857142857142	0.2667336311385854	7	6.0	z_score
osca	scvi	10.0	0.011558362873839299	7	2.0	z_score
scPNMF	cellcharter	22.571428571428573	0.1701288522638124	7	29.0	z_score
scPNMF	scvi	16.428571428571427	-0.08475749584193368	7	18.0	z_score
scanpy_cell_ranger	cellcharter	15.714285714285714	0.2536620726521046	7	17.0	z_score
scanpy_cell_ranger	scvi	16.571428571428573	-0.025129036101480668	7	19.0	z_score
scanpy_cell_ranger_batch	cellcharter	12.857142857142858	0.301721349937929	7	10.0	z_score
scanpy_cell_ranger_batch	scvi	14.857142857142858	-0.011920106715684204	7	17.0	z_score
scanpy_pearson	cellcharter	16.0	0.24212692112540948	7	18.0	z_score
scanpy_pearson	scvi	12.0	-0.03820581142935048	7	8.0	z_score
scanpy_pearson_batch	cellcharter	15.285714285714286	0.24360358861955184	7	16.0	z_score
scanpy_pearson_batch	scvi	17.428571428571427	-0.14461138991914793	7	21.0	z_score
scanpy_seurat	cellcharter	19.0	0.2031560894369326	7	22.0	z_score
scanpy_seurat	scvi	19.285714285714285	-0.02560931273189681	7	24.5	z_score
scanpy_seurat_batch	cellcharter	19.571428571428573	0.18102716886828624	7	23.5	z_score
scanpy_seurat_batch	scvi	19.285714285714285	-0.04347792074659385	7	24.5	z_score
scanpy_seurat_v3	cellcharter	7.285714285714286	0.37547287791833345	7	2.5	z_score
scanpy_seurat_v3	scvi	12.857142857142858	0.06105498693052645	7	11.5	z_score
scanpy_seurat_v3_batch	cellcharter	7.142857142857143	0.35936812527729317	7	1.0	z_score
scanpy_seurat_v3_batch	scvi	14.142857142857142	0.005680025747419053	7	15.5	z_score
scry	cellcharter	19.571428571428573	0.18033018758303956	7	23.5	z_score
scry	scvi	19.714285714285715	-0.1998549692191169	7	26.0	z_score
seurat_disp	cellcharter	21.714285714285715	0.17307382670560414	7	28.0	z_score
seurat_disp	scvi	17.142857142857142	-0.08904745834585483	7	20.0	z_score
seurat_mvp	cellcharter	15.142857142857142	0.2421370376483652	7	15.0	z_score
seurat_mvp	scvi	20.0	-0.027846659304979485	7	27.0	z_score
seurat_sct	cellcharter	20.142857142857142	-0.017977140161944516	7	26.5	z_score
seurat_sct	scvi	13.428571428571429	-0.11127808423602102	7	13.0	z_score
seurat_vst	cellcharter	7.285714285714286	0.3652946913098882	7	2.5	z_score
seurat_vst	scvi	10.428571428571429	0.0745638203096801	7	3.0	z_score
singleCellHaystack	cellcharter	12.857142857142858	0.29567691983451316	7	10.0	z_score
singleCellHaystack	scvi	12.285714285714286	-0.07122867841218213	7	9.5	z_score
somde	cellcharter	12.571428571428571	0.26726626667021247	7	8.0	z_score
somde	scvi	11.857142857142858	-0.02489217307454599	7	7.0	z_score
sparkx	cellcharter	19.714285714285715	0.19860259459484442	7	25.0	z_score
sparkx	scvi	19.0	-0.16734409747787254	7	23.0	z_score
spatialde	cellcharter	12.857142857142858	0.2735314319634929	7	10.0	z_score
spatialde	scvi	13.571428571428571	-0.0511983226670046	7	14.0	z_score
statistic_mean	cellcharter	20.142857142857142	0.18303291430976024	7	26.5	z_score
statistic_mean	scvi	22.571428571428573	-0.2643845642250068	7	29.0	z_score
statistic_variance	cellcharter	18.571428571428573	0.1959402596050037	7	20.5	z_score
statistic_variance	scvi	18.857142857142858	-0.15931482559632282	7	22.0	z_score
triku	cellcharter	11.285714285714286	0.2918257128027859	7	7.0	z_score
triku	scvi	7.571428571428571	0.16275312533997324	7	1.0	z_score
Brennecke	cellcharter	15.571428571428571	0.6488683513963489	7	15.0	integration_weight_0.6
Brennecke	scvi	15.714285714285714	0.6087337098382554	7	20.0	integration_weight_0.6
anticor	cellcharter	16.285714285714285	0.6507730774828164	7	21.0	integration_weight_0.6
anticor	scvi	15.571428571428571	0.6100273337369478	7	19.0	integration_weight_0.6
dubstepr	cellcharter	16.0	0.646929290046405	7	18.5	integration_weight_0.6
dubstepr	scvi	11.0	0.6156506455272946	7	3.0	integration_weight_0.6
hotspot	cellcharter	16.0	0.6483338749325795	7	18.5	integration_weight_0.6
hotspot	scvi	16.0	0.6081397693523847	7	21.5	integration_weight_0.6
morans_i	cellcharter	15.285714285714286	0.6469971052910256	7	14.0	integration_weight_0.6
morans_i	scvi	16.285714285714285	0.6040935190285419	7	24.0	integration_weight_0.6
nbumi	cellcharter	9.428571428571429	0.6629108472230243	7	5.0	integration_weight_0.6
nbumi	scvi	15.285714285714286	0.6304518577083096	7	17.5	integration_weight_0.6
nnsvg	cellcharter	15.857142857142858	0.6439224446061794	7	16.0	integration_weight_0.6
nnsvg	scvi	13.285714285714286	0.6161632228622586	7	10.0	integration_weight_0.6
osca	cellcharter	13.428571428571429	0.6506520734870156	7	11.0	integration_weight_0.6
osca	scvi	10.571428571428571	0.6246360598104967	7	2.0	integration_weight_0.6
scPNMF	cellcharter	24.142857142857142	0.6334663367490931	7	29.0	integration_weight_0.6
scPNMF	scvi	16.142857142857142	0.6056401030030043	7	23.0	integration_weight_0.6
scanpy_cell_ranger	cellcharter	12.142857142857142	0.6552099625885619	7	9.0	integration_weight_0.6
scanpy_cell_ranger	scvi	13.142857142857142	0.6375240364627313	7	8.5	integration_weight_0.6
scanpy_cell_ranger_batch	cellcharter	7.857142857142857	0.6656613619698779	7	2.0	integration_weight_0.6
scanpy_cell_ranger_batch	scvi	11.428571428571429	0.6407758068414919	7	4.0	integration_weight_0.6
scanpy_pearson	cellcharter	20.428571428571427	0.6447924650110001	7	25.5	integration_weight_0.6
scanpy_pearson	scvi	13.0	0.6111094698564565	7	7.0	integration_weight_0.6
scanpy_pearson_batch	cellcharter	16.0	0.6532545286186516	7	18.5	integration_weight_0.6
scanpy_pearson_batch	scvi	16.571428571428573	0.5997558927304345	7	25.0	integration_weight_0.6
scanpy_seurat	cellcharter	13.142857142857142	0.6565019205094108	7	10.0	integration_weight_0.6
scanpy_seurat	scvi	12.714285714285714	0.639414923596273	7	5.0	integration_weight_0.6
scanpy_seurat_batch	cellcharter	14.714285714285714	0.6535051125209836	7	13.0	integration_weight_0.6
scanpy_seurat_batch	scvi	14.857142857142858	0.6304796386524829	7	14.0	integration_weight_0.6
scanpy_seurat_v3	cellcharter	7.0	0.6648350908538649	7	1.0	integration_weight_0.6
scanpy_seurat_v3	scvi	15.285714285714286	0.6352930400139553	7	17.5	integration_weight_0.6
scanpy_seurat_v3_batch	cellcharter	8.857142857142858	0.6653716292418385	7	4.0	integration_weight_0.6
scanpy_seurat_v3_batch	scvi	15.142857142857142	0.6254862420953126	7	16.0	integration_weight_0.6
scry	cellcharter	18.714285714285715	0.6386547368821607	7	23.0	integration_weight_0.6
scry	scvi	20.285714285714285	0.5845728042069583	7	27.0	integration_weight_0.6
seurat_disp	cellcharter	17.857142857142858	0.6469618262812611	7	22.0	integration_weight_0.6
seurat_disp	scvi	16.0	0.6114317503745073	7	21.5	integration_weight_0.6
seurat_mvp	cellcharter	11.857142857142858	0.6566015524074447	7	8.0	integration_weight_0.6
seurat_mvp	scvi	13.142857142857142	0.6389153778453354	7	8.5	integration_weight_0.6
seurat_sct	cellcharter	20.428571428571427	0.627755228011002	7	25.5	integration_weight_0.6
seurat_sct	scvi	12.857142857142858	0.6132255114110554	7	6.0	integration_weight_0.6
seurat_vst	cellcharter	8.0	0.6631614977049559	7	3.0	integration_weight_0.6
